seq_text,img
0,a baby is playing with a ball,baby.mp4
1,a person is slicing a potato,potato.mp4
2,a man is riding a motorcycle,bike.mp4
3,someone is stirring rice in a pot,UXs3eq68ZjE_250_255.mp4
4,a woman is cooking something,WTf5EgVY5uU_124_128.mp4
5,a person is cutting a,J_evFB7RIKA_104_120.mp4
6,a man is mixing a with a knife,0lh_UWF9ZP4_62_69.mp4
7,a man is adding something to a bowl,Je3V7U5Ctj4_569_576.mp4
8, a man is getting on a,4QdX5Q3qQsQ_38_44.mp4
9, a cat is playing with a cats,5OvgDatToBU_0_8.mp4
10,a man is doing a on a,6ZhKOK08tgM_225_233.mp4
11,a man is playing a guitar,9IrWyZ0KZuk_160_166.mp4
12,a man is talking on a,EqOGzNkekMk_5_15.mp4
13,a man is shooting a gun,F1BwUJ4--Qw_21_38.mp4
14,a man is playing a a box,g9aZcaEg7iY_0_9.mp4
15,a group of women are a,Gn4Iv5ARIXc_37_40.mp4
16,a man is playing a a,htWPOGTagec_2_18.mp4
17,a man is riding a on a,o_mWZWcm2r4_47_54.mp4
18,a car is driving a car,PslVHtXc7Tg_8_14.mp4
19,a little girl is playing with a pink toy,child_drawing.mp4
20,a baby is playing with a baby,baby_eating.mp4
21,a cat is being played,cat.mp4
22,a man is cooking a dish in a kitchen,man_slicing.mp4
23,a woman is walking around a train,train.mp4



